Service Area,Account Description,Creditor,Journal Date,Journal Reference,Total
Children's Education & Skills,Miscellaneous Expenses,AMAZON UK MARKETPLACE,18/08/2015,5045,23.97
Children's Education & Skills,Stationery,AMAZON UK MARKETPLACE,10/12/2015,6331,51.4
Children's Education & Skills,Stationery,AMAZON UK MARKETPLACE,16/10/2015,5659,48.46
Children's Education & Skills,Stationery,AMAZON UK MARKETPLACE,29/10/2015,5808,42.48
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,01/02/2016,6885,27.96
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,01/02/2016,6886,92.97
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,01/02/2016,6887,27.96
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,02/02/2016,6912,29.97
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,02/02/2016,6913,39.96
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,04/02/2016,6965,3.65
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,06/11/2015,5911,6.97
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,08/01/2016,6607,11.79
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,08/10/2015,5582,39.93
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,10/12/2015,6341,6.44
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,11/01/2016,6631,26.21
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,11/11/2015,5979,5.24
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,12/11/2015,6001,2.81
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,18/09/2015,5357,16.13
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,19/10/2015,5674,7.98
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,21/08/2015,5085,16.94
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,21/12/2015,6493,1.9
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,26/11/2015,6158,10.98
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,27/08/2015,5159,21.78
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,27/10/2015,5791,8.46
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,28/08/2015,5174,9.79
Children's Family Services,Building Repairs & Maintenance,AMAZON UK MARKETPLACE,07/10/2015,5556,4.22
Children's Family Services,Building Repairs & Maintenance,AMAZON UK MARKETPLACE,16/10/2015,5651,33.17
Children's Family Services,Building Repairs & Maintenance,AMAZON UK MARKETPLACE,17/06/2015,4311,6.18
Children's Family Services,Building Repairs & Maintenance,AMAZON UK MARKETPLACE,17/06/2015,4315,74.95
Children's Family Services,Building Repairs & Maintenance,AMAZON UK MARKETPLACE,18/01/2016,6695,40.99
Children's Family Services,Building Repairs & Maintenance,AMAZON UK MARKETPLACE,22/07/2015,4726,28.47
Children's Family Services,Building Repairs & Maintenance,AMAZON UK MARKETPLACE,28/10/2015,5793,18.68
Children's Family Services,Cleaning and domestic material,AMAZON UK MARKETPLACE,10/02/2016,7034,14.99
Children's Family Services,Cleaning and domestic material,AMAZON UK MARKETPLACE,26/02/2016,7229,24
Children's Family Services,Cleaning and domestic material,AMAZON UK MARKETPLACE,29/09/2015,5471,27.98
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,02/03/2016,7283,5.41
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,02/07/2015,4511,1.06
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,02/11/2015,5824,0.93
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,02/11/2015,5827,4.95
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,03/03/2016,7309,13.29
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,03/03/2016,7310,24.13
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,03/03/2016,7311,24.33
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,03/11/2015,5870,10.66
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,06/07/2015,4548,2.17
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,12/02/2016,7067,4.4
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,15/10/2015,5648,0.75
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,16/02/2016,7089,45.58
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,17/09/2015,5344,6.55
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,18/11/2015,6064,1.73
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,24/09/2015,5413,14.33
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,24/09/2015,5414,65.63
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,24/09/2015,5415,13.55
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,27/01/2016,6827,54.15
Children's Family Services,E19 - Learning Resources,AMAZON UK MARKETPLACE,27/01/2016,6828,21.05
Children's Family Services,E25 - Catering Supplies,AMAZON UK MARKETPLACE,22/06/2015,4375,5.83
Children's Family Services,Education CFR Administrative S,AMAZON UK MARKETPLACE,02/03/2016,7284,18.32
Children's Family Services,Education CFR Administrative S,AMAZON UK MARKETPLACE,03/03/2016,7313,5.48
Children's Family Services,Education CFR Administrative S,AMAZON UK MARKETPLACE,03/09/2015,5207,9.96
Children's Family Services,Education CFR Administrative S,AMAZON UK MARKETPLACE,17/09/2015,5344,11.7
Children's Family Services,Education CFR Administrative S,AMAZON UK MARKETPLACE,25/02/2016,7199,2.48
Children's Family Services,Education CFR Other Occupation,AMAZON UK MARKETPLACE,02/03/2016,7282,10.21
Children's Family Services,Education CFR Other Occupation,AMAZON UK MARKETPLACE,03/03/2016,7312,17.2
Children's Family Services,Education CFR Other Occupation,AMAZON UK MARKETPLACE,04/11/2015,5875,6.63
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/02/2016,6888,12.35
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/02/2016,6889,6.94
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/03/2016,7265,13.45
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6199,14.14
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6200,19.95
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6201,24.99
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6202,13.38
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6203,4.21
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6204,4.53
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6205,18.12
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6206,31.87
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6207,29.97
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6210,28.69
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6211,2.89
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6212,54.76
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6213,6.75
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6214,55.13
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6215,14.97
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6230,20.1
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/12/2015,6231,22.33
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,02/02/2016,6927,29.92
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,02/02/2016,6928,32.97
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,02/10/2015,5524,42.47
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,02/11/2015,5836,3.32
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,02/12/2015,6239,55.52
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,02/12/2015,6240,24.04
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,03/09/2015,5219,23.08
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,04/09/2015,5228,10.92
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,04/12/2015,6267,7.49
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,05/05/2015,3054,6.62
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,05/06/2015,4156,3.58
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,05/06/2015,4157,5.94
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,05/06/2015,4158,8.9
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,05/06/2015,4159,3.52
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,06/01/2016,6579,10.35
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,06/01/2016,6580,95.9
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,07/09/2015,5243,4.96
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,07/09/2015,5244,1.1
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,07/09/2015,5248,21.03
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,07/09/2015,5249,13.4
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,07/09/2015,5253,5
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,07/09/2015,5255,10
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,07/10/2015,5563,13.75
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,07/12/2015,6282,9.96
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,07/12/2015,6298,14.98
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,08/01/2016,6609,66.5
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,08/06/2015,4186,153.98
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,08/07/2015,4601,-153.98
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5928,2.37
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5930,3.7
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5931,15.33
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5932,1.7
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5934,31.35
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5935,2.08
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5936,6.15
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5937,4.49
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5938,1.22
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5939,1.66
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5941,6.61
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5942,2.24
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5943,4.25
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5944,1.58
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5945,4.99
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/11/2015,5946,1.87
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/12/2015,6324,4.57
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,10/02/2016,7033,19.49
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,10/09/2015,5285,13.17
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,10/09/2015,5286,14.58
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,10/09/2015,5287,20.01
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,10/11/2015,5953,1.82
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,10/11/2015,5954,11.12
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,10/11/2015,5955,3.13
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,10/11/2015,5956,49.98
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,10/11/2015,5957,93.61
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,10/11/2015,5958,11.87
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,10/11/2015,5960,3.25
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,11/06/2015,4229,56.57
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,11/06/2015,4241,5.46
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,11/11/2015,5972,14.5
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,11/11/2015,5973,0.91
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,11/11/2015,5974,36.52
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,11/11/2015,5976,4.17
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,11/12/2015,6345,124.98
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,11/12/2015,6348,-5.98
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,11/12/2015,6349,-4.35
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,12/06/2015,4254,25.75
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,12/06/2015,4255,2.46
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,12/08/2015,4976,11.55
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,12/08/2015,4977,34.97
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,14/08/2015,5013,13.5
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,14/10/2015,5629,28.98
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,15/01/2016,6679,26.99
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,15/06/2015,4290,49.5
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,16/03/2016,7472,54.16
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,16/12/2015,6413,25.98
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,17/02/2016,7103,109.94
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,18/01/2016,6695,22.17
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,18/06/2015,4345,7.15
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,19/01/2016,6720,32.97
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,19/08/2015,5068,312.35
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,20/11/2015,6089,20.03
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,21/12/2015,6486,6.99
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,21/12/2015,6487,5.99
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,22/06/2015,4370,11.27
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,22/07/2015,4733,2.48
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,22/07/2015,4735,1.25
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,22/09/2015,5392,-8.93
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,23/03/2016,7561,38.48
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,23/07/2015,4754,29.98
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,23/07/2015,4766,13.39
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,23/07/2015,4767,41.86
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/07/2015,4781,16.63
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/07/2015,4784,15.94
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/07/2015,4786,1.37
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/09/2015,5421,9.15
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/11/2015,6131,5.98
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,25/01/2016,6789,7.49
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,25/09/2015,5441,8.11
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,25/11/2015,6141,7.17
